DEVTYPE_Academia,DEVTYPE_BackEnd,DEVTYPE_Blockchain,DEVTYPE_DataScienceAndAI,DEVTYPE_DevSupport,DEVTYPE_ExecutiveManagement,DEVTYPE_FrontEnd,DEVTYPE_FullStack,DEVTYPE_Management,DEVTYPE_Native,DEVTYPE_ResearchAndDevelopment,age,ai_sent,ai_threat,comp_usd,country,ed_level,home_gni,org_size,per_gni,remote_work,years_code_pre_pro
False,False,False,False,True,False,False,False,False,False,False,3,0,-1.0,250000.0,united states,3,83660.0,4,2.99,2,6.0
False,False,False,False,False,False,False,False,False,True,False,2,0,-1.0,32049.92,mexico,6,12800.0,4,2.5,2,10.0
False,False,False,False,False,False,True,False,False,False,False,2,2,-1.0,64620.0,czech republic,5,29140.0,3,2.22,2,2.0
False,False,False,False,True,False,False,False,False,False,False,2,1,0.0,64932.0,slovakia,6,23900.0,8,2.72,2,5.0
False,True,False,False,False,False,False,False,False,False,False,2,0,-1.0,142037.5,switzerland,5,95900.0,1,1.48,2,8.0
False,False,False,False,False,False,False,False,False,False,True,4,2,-1.0,150000.0,united states,3,83660.0,3,1.79,2,0.0
False,False,False,False,False,False,True,False,False,False,False,2,1,-1.0,49284.0,hungary,5,20690.0,4,2.38,1,4.0
False,False,False,False,False,False,True,False,False,False,False,3,-1,-1.0,70343.0,germany,1,54960.0,3,1.28,1,3.0
False,True,False,False,False,False,False,False,False,False,False,2,1,-1.0,91987.0,portugal,6,26620.0,4,3.46,2,5.0
True,False,False,False,False,False,False,False,False,False,False,3,1,-1.0,27055.0,italy,7,38290.0,4,0.71,0,8.0
False,True,False,False,False,False,False,False,False,False,False,1,1,-1.0,70343.0,netherlands,5,62840.0,2,1.12,1,7.0
False,False,False,False,False,False,False,False,False,True,False,3,-1,-1.0,160000.0,united states,3,83660.0,6,1.91,2,6.0
False,False,False,False,False,False,True,False,False,False,False,1,2,-1.0,71348.28,switzerland,2,95900.0,4,0.74,1,3.0
False,False,False,False,False,False,True,False,False,False,False,1,-1,1.0,10812.0,israel,5,52940.0,4,0.2,0,3.0
False,False,False,False,False,False,False,False,False,True,False,1,1,0.0,5400.0,ecuador,3,6430.0,3,0.84,0,4.0
False,False,False,False,False,False,False,False,False,True,False,1,1,-1.0,21644.0,latvia,1,21930.0,3,0.99,1,6.0
False,False,False,False,False,False,True,False,False,False,False,3,1,-1.0,24000.0,argentina,3,13440.0,3,1.79,1,3.0
False,False,False,False,False,False,True,False,False,False,False,2,2,-1.0,52800.0,brazil,5,9950.0,3,5.31,2,4.0
False,False,False,False,False,False,True,False,False,False,False,3,2,-1.0,51124.0,united kingdom of great britain and northern ireland,5,48610.0,6,1.05,1,4.0
False,False,False,False,False,False,True,False,False,False,False,2,1,0.0,7170.0,india,5,2650.0,8,2.71,1,4.0
False,False,False,False,False,False,False,True,False,False,False,2,1,-1.0,137000.0,united states,3,83660.0,4,1.64,1,5.0
False,False,False,True,False,False,False,False,False,False,False,3,2,1.0,400000.0,united states,6,83660.0,8,4.78,1,2.0
False,False,False,False,True,False,False,False,False,False,False,2,1,-1.0,120000.0,united states,1,83660.0,6,1.43,1,3.0
False,True,False,False,False,False,False,False,False,False,False,2,1,1.0,20554.0,india,5,2650.0,3,7.76,2,5.0
False,False,False,False,False,False,True,False,False,False,False,4,0,0.0,127810.0,united kingdom of great britain and northern ireland,3,48610.0,4,2.63,2,3.0
False,False,False,False,False,False,True,False,False,False,False,2,-2,-1.0,57776.0,poland,6,21560.0,4,2.68,1,6.0
False,False,False,False,False,False,True,False,False,False,False,1,2,-1.0,75000.0,united states,5,83660.0,1,0.9,1,5.0
False,False,False,False,False,False,True,False,False,False,False,2,1,-1.0,70000.0,united states,5,83660.0,4,0.84,0,4.0
False,False,False,False,False,False,True,False,False,False,False,4,0,-1.0,37877.0,italy,3,38290.0,1,0.99,1,2.0
False,False,False,False,False,False,True,False,False,False,False,3,1,-1.0,126000.0,united states,3,83660.0,3,1.51,1,10.0
False,False,False,False,True,False,False,False,False,False,False,3,2,-1.0,365000.0,canada,5,53340.0,8,6.84,2,11.0
False,True,False,False,False,False,False,False,False,False,False,1,2,-1.0,8051.4,algeria,6,5320.0,3,1.51,1,6.0
False,False,False,False,False,False,True,False,False,False,False,1,2,0.0,19893.0,italy,1,38290.0,1,0.52,2,2.0
False,True,False,False,False,False,False,False,False,False,False,3,0,0.0,66248.0,sweden,1,58820.0,0,1.13,2,5.0
False,False,False,False,False,False,True,False,False,False,False,4,2,-1.0,135000.0,united states,5,83660.0,2,1.61,2,5.0
False,False,False,False,False,False,True,False,False,False,False,2,-1,0.0,37877.0,italy,6,38290.0,4,0.99,1,1.0
False,False,False,False,False,False,False,False,True,False,False,4,2,-1.0,116800.0,canada,5,53340.0,2,2.19,1,16.0
False,False,False,False,False,False,True,False,False,False,False,2,1,-1.0,51124.0,united kingdom of great britain and northern ireland,6,48610.0,6,1.05,0,6.0
False,True,False,False,False,False,False,False,False,False,False,5,1,-1.0,165000.0,united states,6,83660.0,4,1.97,2,19.0
False,False,False,False,False,False,False,False,False,False,True,1,2,-1.0,125000.0,united states,6,83660.0,2,1.49,1,12.0
